,country,1st_const_year,2nd_const_year,tfidf_distance,lda_distance,use_distance,stm_distance,constitutional_time,first_regime_time,codes
0,Afghanistan,1923,1931.0,2.5546671599149704,2.1824149694237533,0.2721637195996467,1.8524200436422733,99,8.0,AFG
1,Albania,1925,1928.0,2.818089246749878,2.4124501051683938,0.7783798098308023,3.29629227155804,97,3.0,ALB
2,Algeria,1963,1996.0,0.6509471535682678,0.5368397261252649,0.13296872219689815,0.4839080208273268,59,33.0,DZA
3,Andorra,1993,,0.0,0.0,0.0,0.0,29,,AND
4,Angola,1975,2010.0,0.3174434304237366,0.5716225718386806,0.30541141344115164,0.489318411248492,47,35.0,AGO
5,Antigua Barbuda,1981,,0.0,0.0,0.0,0.0,41,,ATG
6,Argentina,1819,1826.0,1.1499672830104828,0.8812073705652571,0.03753879924851644,0.714374337036735,203,7.0,ARG
7,Armenia,1995,2005.0,0.3890742063522339,0.4190848473669746,0.08401668477139479,0.5333420282267346,27,10.0,ARM
8,Australia,1901,,0.0,0.0,0.0,0.0,121,,AUS
9,Austria,1920,1934.0,0.3382170796394348,0.1136503331920562,0.048903066903148384,0.4032904474061725,102,14.0,AUT
10,Azerbaijan,1991,1995.0,0.1280924677848816,0.45814426976004546,0.2233655784295865,0.6104853662004907,31,4.0,AUT
11,Bahamas,1973,,0.0,0.0,0.0,0.0,49,,AZE
12,Bahrain,1973,2002.0,0.8841427266597748,0.471551186569334,0.05750339107525915,0.3427592014213194,49,29.0,DEU-BW
13,Bangladesh,1972,,0.0,0.0,0.0,0.0,50,,BHS
14,Barbados,1966,,0.0,0.0,0.0,0.0,56,,BHR
15,Belarus,1994,,0.0,0.0,0.0,0.0,28,,BGD
16,Belgium,1831,,0.0,0.0,0.0,0.0,191,,BRB
17,Belize,1981,,0.0,0.0,0.0,0.0,41,,DEU-BY
18,Benin,1964,1970.0,1.4192856401205063,0.7426899899794766,0.40389326482712296,0.5678138114913297,58,6.0,BLR
19,Bhutan,1953,2008.0,0.7390057444572449,0.5798510482686507,0.42081452759073834,0.5631042137355383,69,55.0,BEL
20,Bolivia,1826,1831.0,4.56330905854702,3.026661364272824,0.3255468643339845,3.6204305193328383,196,5.0,BLZ
21,BosniaAndHerzegovina,1995,,0.0,0.0,0.0,0.0,27,,BEN
22,Botswana,1966,,0.0,0.0,0.0,0.0,56,,BTN
23,Brazil,1824,1891.0,1.9418047592043877,1.7087890438912168,0.24565232958686078,3.8017150549216447,198,67.0,BOL
24,Bulgaria,1947,1971.0,0.8179209232330322,1.0321413764192071,0.08373922412356494,0.8628606398917056,75,24.0,BIH
25,Burkina Faso,1960,1988.0,1.4574026390910149,1.6326317914954744,0.35271418606387717,1.16919446811601,62,28.0,BWA
26,Burundi,1962,1974.0,1.698331892490387,1.509537152946407,0.2919815627768244,3.3691320785104604,60,12.0,BRA
27,Cambodia,1947,1972.0,4.370397478342056,2.6042617393251466,0.8050738148854502,3.3502145229870597,75,25.0,BGR
28,Cameroon,1960,1961.0,1.43957981467247,1.22336152790071,0.3765452787409448,1.53435940967103,62,1.0,BFA
29,Canada,1791,1867.0,0.8408332169055939,0.7758145858197605,0.16580075728083377,0.3553260781720716,231,76.0,BDI
30,Cape Verde,1980,,0.0,0.0,0.0,0.0,42,,KHM
31,Central African Republic,1981,1994.0,1.7807971686124802,0.9096015732511482,0.09473174406680496,1.221641751591788,41,13.0,CMR
32,Chad,1960,1962.0,1.1457976996898651,1.0911305377653098,0.09514847353290823,0.7427231122819261,62,2.0,CAN
33,Chile,1823,1828.0,2.3902609646320343,1.2963009680761308,0.20002376578208791,1.953191020789506,199,5.0,CPV
34,China,1914,1923.0,3.860090332105756,2.3730479348289943,0.897671703340129,5.290515012343976,108,9.0,Caribbean charter
35,Colombia,1811,1830.0,4.714640706777573,2.579297448257834,0.5237276895131332,6.5482532061564545,211,19.0,CAF
36,Comoros,1996,2001.0,0.6203730404376984,0.3340164079975937,0.12190675634187309,0.4709765494524994,26,5.0,TCD
37,Congo,1963,1979.0,1.3101141154766083,1.1280200162383691,0.11170061389947628,1.4377195140478358,59,16.0,CHL
38,Costa Rica,1848,1871.0,1.8353433012962341,1.1476965263612164,0.1430388039186854,1.4531487172273088,174,23.0,CHN
39,Croatia,1991,,0.0,0.0,0.0,0.0,31,,COL
40,Cuba,1940,1959.0,1.0376110672950745,0.8504139913199292,0.14946200321557002,0.8935052044923842,82,19.0,COM
41,Cyprus,1960,,0.0,0.0,0.0,0.0,62,,COG
42,Czech Republic,1993,,0.0,0.0,0.0,0.0,29,,CRI
43,Democratic Republic of the Congo,1964,1967.0,2.2406360879540443,1.2548232384794926,0.25751569822745723,1.608296406966486,58,3.0,HRV
44,Denmark,1866,1953.0,0.9232193231582642,0.5883016321873852,0.0685756049556584,0.4097802848529133,156,87.0,CUB
45,Djibouti,1977,1992.0,0.6185770034790039,0.4410730471534441,0.2485869338323755,0.2884652440926529,45,15.0,CYP
46,Dominica,1978,,0.0,0.0,0.0,0.0,44,,CZE
47,Dominican Republic,1821,1858.0,4.3147315084934235,3.4228462270023297,0.9981496238743207,7.655179479300104,201,37.0,CSK
48,East Timor,2002,,0.0,0.0,0.0,0.0,20,,COD
49,Ecuador,1830,1869.0,5.926186345517635,3.5184761248171617,0.3989623116882295,6.469361033305896,192,39.0,DNK
50,Egypt,1923,1956.0,2.5081372559070587,1.61551537162613,0.20881557105828574,3.115473453704027,99,33.0,DJI
51,El Salvador,1824,1841.0,2.9397564828395844,1.791971040895169,0.23240689366185097,4.525869525259936,198,17.0,DMA
52,Equatorial Guinea,1968,1973.0,1.0856826901435852,1.150007771669734,0.22484008612100115,1.5123653703764788,54,5.0,DOM
53,Eritrea,1997,,0.0,0.0,0.0,0.0,25,,TLS
54,Estonia,1920,1937.0,2.493385285139084,2.0928894280147663,0.40863505927840815,1.6299110345727734,102,17.0,ECU
55,Ethiopia,1931,1955.0,1.601694405078888,1.5819180749049466,0.4416853589950026,1.8416597461152775,91,24.0,EGY
56,Fiji,1970,1990.0,0.35797226428985607,0.9394967200936912,0.05246308186707527,1.5970635828478694,52,20.0,SLV
57,Finland,1919,1999.0,0.5718935430049896,0.6697153824178694,0.07969810884841044,0.5678395400919026,103,80.0,GNQ
58,France,1791,1793.0,8.805528793483973,5.310201275622308,1.8396432249015717,7.0117779333306185,231,2.0,ERI
59,Gabon,1961,1975.0,0.6984707713127136,0.6551399513009006,0.050172522175863654,0.49322700123790436,61,14.0,EST
60,Gambia,1970,1996.0,0.12006580829620361,0.5963252086910432,0.048659747516943574,0.5350633565305641,52,26.0,ETH
61,Georgia,1995,,0.0,0.0,0.0,0.0,27,,FJI
62,Germany,1871,1919.0,0.3502974510192871,0.5518588083382516,0.03364362066196702,0.1039359939700892,151,48.0,FIN
63,Ghana,1954,1957.0,1.1119575798511505,1.3951284760171598,0.4434506369333243,2.5280156580696236,68,3.0,FRA
64,Great Colombia,1821,,0.0,0.0,0.0,0.0,201,,GAB
65,Greece,1952,1968.0,0.7128946185112,0.6226838793599638,0.07457314906058143,0.5798472424236426,70,16.0,GMB
66,Grenada,1974,,0.0,0.0,0.0,0.0,48,,GEO
67,Guatemala,1879,1945.0,1.6571165025234222,1.4437553495347955,0.22239403382038414,2.630157826016193,143,66.0,DEU-DR
68,Guinea,1958,1982.0,1.8179659247398376,1.5080014230759404,0.31850496830138075,1.388527679609454,64,24.0,DEU
69,Guinea Bissau,1973,1984.0,1.1015338599681854,0.7699972664901198,0.20756069959819845,0.6171491744127866,49,11.0,DEU-FR
70,Guyana,1966,1970.0,0.08736741542816162,0.2847315518165247,0.0257096787426514,0.757832749300979,56,4.0,DEU-PRU
71,Haiti,1801,1805.0,3.9732572585344315,3.014511212834404,0.5835423012691161,5.458061280204875,221,4.0,GHA
72,Honduras,1839,1848.0,4.398849934339523,2.2882482101720374,0.2187798161807758,4.496747288212101,183,9.0,GCOL
73,Hungary,1919,1920.0,2.3409379348158836,2.5643205824735906,0.6273432163138596,2.971285940130324,103,1.0,GRC
74,Iceland,1874,1920.0,1.8980559147894382,0.6293129637539899,0.100343942664879,0.7199958007713692,148,46.0,GRD
75,India,1949,,0.0,0.0,0.0,0.0,73,,GTM
76,Indonesia,1945,2002.0,0.7170490324497223,0.6786587482393588,0.19458490456913602,0.3957574641460813,77,57.0,GIN
77,Iran,1906,1979.0,0.9626884236931801,0.7398105907965019,0.30092661054330305,0.637183701213513,116,73.0,GNB
78,Iraq,1925,2005.0,0.3726409077644348,0.733563603928421,0.08871265424481345,0.7170542338053906,97,80.0,GUY
79,Ireland,1922,1937.0,0.19384121894836426,0.4712997391049063,0.06430215029366704,0.4213127210554021,100,15.0,HTI
80,Israel,1958,,0.0,0.0,0.0,0.0,64,,HND
81,Italy,1848,1947.0,0.6892141699790955,0.6413175282234278,0.16672443676035054,0.6248335620728244,174,99.0,HUN
82,Jamaica,1962,,0.0,0.0,0.0,0.0,60,,ISL
83,Japan,1889,1946.0,0.5245954096317291,0.4181695081631505,0.11767798307345256,0.5253482197380424,133,57.0,IND
84,Jordan,1946,1952.0,0.4141044020652771,0.2938734454637541,0.052688430627105154,0.4101811635016479,76,6.0,IDN
85,Kazakhstan,1995,,0.0,0.0,0.0,0.0,27,,IRN
86,Kenya,1963,2010.0,0.2853538393974304,0.8112244864450219,0.0406062309191334,0.5975314004966898,59,47.0,IRQ
87,Kiribati,1979,,0.0,0.0,0.0,0.0,43,,IRL
88,Kosovo,2008,,0.0,0.0,0.0,0.0,14,,ISR
89,Kuwait,1962,,0.0,0.0,0.0,0.0,60,,ITA
90,Kyrgyz,1993,2007.0,0.7049312591552734,0.5042502311043608,0.05256420739265044,0.6297171967798865,29,14.0,JAM
91,Laos,1947,1991.0,0.9769401084631681,0.7268000388750603,0.16342441860642964,0.7646634819108346,75,44.0,JPN
92,Latvia,1919,1922.0,2.8561544734984636,2.342309879305718,0.6051430613870807,1.8064503050019962,103,3.0,JOR
93,Lebanon,1926,,0.0,0.0,0.0,0.0,96,,KAZ
94,Lesotho,1966,1983.0,0.21254211664199818,0.5241831759663111,0.3729183862044033,0.3415626882959292,56,17.0,KEN
95,Liberia,1847,1986.0,0.32672011852264404,0.5606518690289876,0.12101164189521729,0.3843219451241975,175,139.0,KIR
96,Libya,1951,2011.0,0.6317365765571594,0.7195898208222641,0.18744182560767364,0.6514591490582016,71,60.0,KOS
97,Liechtenstein,1818,1921.0,0.9026807993650436,0.669477398730905,0.3070696312706366,0.6140107874954946,204,103.0,KWT
98,Lithuania,1922,1928.0,0.15341073274612438,0.8773799326545162,0.16077889012371116,0.3798867274798486,100,6.0,KGZ
99,Luxembourg,1868,,0.0,0.0,0.0,0.0,154,,LAO
100,Macedonia,1991,,0.0,0.0,0.0,0.0,31,,LVA
101,Madagascar,1975,1992.0,1.7581227123737335,0.7910404020689685,0.0739644906196315,1.5295718414032313,47,17.0,LBN
102,Malawi,1964,1966.0,0.32469767332077026,0.846023732607208,0.16754519153295688,1.0958655873886873,58,2.0,LSO
103,Malaysia,1957,,0.0,0.0,0.0,0.0,65,,LBR
104,Maldives,1998,2008.0,0.020173311233520397,0.2783459032574379,0.06621285386104359,0.3240621720462449,24,10.0,LBY
105,Mali,1969,1974.0,0.8674764335155487,0.5025026708758114,0.10209348814039643,0.36896374839094737,53,5.0,LIE
106,Malta,1964,,0.0,0.0,0.0,0.0,58,,LTU
107,Marshall Islands,1979,,0.0,0.0,0.0,0.0,43,,LUX
108,Mauritania,1961,1978.0,2.416529528796673,1.6482225781872075,0.8100906048540814,0.910365616253882,61,17.0,MKD
109,Mauritius,1968,,0.0,0.0,0.0,0.0,54,,MDG
110,Mexico,1824,1836.0,1.874609887599945,1.6931091658061406,0.2685303426877641,1.7693224428517356,198,12.0,MWI
111,Micronesia,1981,,0.0,0.0,0.0,0.0,41,,MYS
112,Moldova,1978,1994.0,0.9976256217341871,0.8108473990482453,0.06204375829361364,0.8310721108874821,44,16.0,MDV
113,Monaco,1962,,0.0,0.0,0.0,0.0,60,,MLI
114,Mongolia,1924,1940.0,2.3235666379332542,1.1007569404707107,0.2541643915475644,1.4092184146857802,98,16.0,MLT
115,Montenegro,1905,1992.0,1.0061012655496597,1.1569022856236306,0.14684821376243884,1.6332730609591462,117,87.0,MHL
116,Morocco,1962,1970.0,1.3633724451065063,0.9854599678865632,0.24289743690107923,1.3070265838621102,60,8.0,MRT
117,Mozambique,1975,1990.0,1.0548102259635925,0.6108730200081685,0.24976003383911805,0.7353537286307487,47,15.0,MUS
118,Myanmar,1947,1962.0,1.7873327359557152,1.8349025169654223,0.7404241888943275,2.410717002305298,75,15.0,MEX
119,Namibia,1990,,0.0,0.0,0.0,0.0,32,,FSM
120,Nauru,1968,,0.0,0.0,0.0,0.0,54,,MDA
121,Nepal,1948,1959.0,2.750518098473549,1.6460709606676773,0.2778749474632084,1.951980902293411,74,11.0,MCO
122,Netherlands,1795,1815.0,0.982848720625043,0.733811101107819,0.32859160325384795,0.7927069066049318,227,20.0,MNG
123,New zealand,1852,,0.0,0.0,0.0,0.0,170,,MNE
124,Nicaragua,1858,1893.0,3.6804614663124084,2.5985927622522844,0.28564375671156417,4.211583705755669,164,35.0,MAR
125,Niger,1960,1989.0,2.8663236275315285,1.3521631959025637,0.1224333669737141,2.577173315943101,62,29.0,MOZ
126,Nigeria,1960,1963.0,0.36757779121398904,0.5455480628449862,0.07973911799245059,1.4200036917642314,62,3.0,MMR
127,North Korea,1948,1972.0,1.500623419880867,0.3011339598455582,0.08428697710615807,0.3574582867120979,74,24.0,NAM
128,Norway,1814,,0.0,0.0,0.0,0.0,208,,NRU
129,Oman,1996,,0.0,0.0,0.0,0.0,26,,NPL
130,Pakistan,1956,1962.0,0.35331201553344727,0.2367953335027965,0.02295066143981639,0.4350027129419972,66,6.0,NLD
131,Palau,1981,,0.0,0.0,0.0,0.0,41,,NZL
132,Panama,1904,1940.0,1.3462370038032532,1.1357373412781973,0.09802493714043603,1.559017084916849,118,36.0,NIC
133,Papua New Guinea,1975,,0.0,0.0,0.0,0.0,47,,NER
134,Paraguay,1813,1844.0,2.6273455917835236,2.3419690531346267,0.5079892851518764,3.361402000295855,209,31.0,NGA
135,Peru,1822,1823.0,4.300547555088997,1.981249634254167,0.6520088107756062,3.9712206350788657,200,1.0,PRK
136,Philippines,1899,1935.0,1.1896651089191437,1.1299491963648158,0.2001128544028118,1.8054486742067715,123,36.0,NOR
137,Poland,1921,1935.0,4.61436103284359,2.513860257968005,0.6006273457058395,2.911227034812887,101,14.0,OMN
138,Portugal,1911,1976.0,0.6624356508255005,0.8150825903883638,0.16280580607599515,0.7498201646879703,111,65.0,PAK
139,Qatar,2003,,0.0,0.0,0.0,0.0,19,,PLW
140,Romania,1948,1952.0,2.149059686809778,1.6373741778323867,0.17348222837228,1.4401961820508329,74,4.0,PAN
141,Russia,1905,1918.0,3.64526247093454,3.1520029942060335,0.6494184797810946,3.853801274636359,117,13.0,PNG
142,Rwanda,1962,1978.0,1.196307510137558,0.984856641232124,0.1913468562014884,1.170784702360292,60,16.0,PRY
143,Saint Kitts and Nevis,1983,,0.0,0.0,0.0,0.0,39,,PER
144,Saint Lucia,1978,,0.0,0.0,0.0,0.0,44,,PHL
145,Saint Vincent and the Grenadines,1979,,0.0,0.0,0.0,0.0,43,,POL
146,Samoa,1962,,0.0,0.0,0.0,0.0,60,,PRT
147,Sao Tome and Principe,1975,,0.0,0.0,0.0,0.0,47,,QAT
148,Saudi Arabia,1926,1992.0,0.619262158870697,0.6221168776110879,0.10964881167540486,0.3706153977335465,96,66.0,VNM
149,Senegal,1963,2001.0,0.41385507583618164,0.5462124216697514,0.03899271318511077,0.3442721567426867,59,38.0,ROU
150,Seychelles,1979,1993.0,0.1431025266647339,0.2703033666225354,0.08953288709990403,0.285332497775997,43,14.0,RUS
151,Sierra Leone,1961,1978.0,0.13836026191711437,0.5502635916428373,0.05719910838647713,1.2209091368524223,61,17.0,RWA
152,Singapore,1958,,0.0,0.0,0.0,0.0,64,,KNA
153,Slovakia,1992,,0.0,0.0,0.0,0.0,30,,LCA
154,Slovenia,1991,,0.0,0.0,0.0,0.0,31,,VCT
155,Solomon Islands,1978,,0.0,0.0,0.0,0.0,44,,WSM
156,Somalia,1960,1979.0,1.632088541984558,1.413841417738904,0.19443655684019767,1.3488690136695105,62,19.0,STP
157,South Africa,1961,1983.0,1.201137214899063,0.885352684961109,0.19699313858812872,1.4449587228701888,61,22.0,SAU
158,South Korea,1948,1987.0,0.6334496438503265,0.495100243032061,0.06685724596693077,0.3030384245616548,74,39.0,SEN
159,South Sudan,2011,,0.0,0.0,0.0,0.0,11,,SYC
160,Spain,1808,1812.0,5.363589867949486,4.299676602235782,0.9259964935652792,3.4218285420893113,214,4.0,SLE
161,Sri Lanka,1931,1946.0,1.568994179368019,1.6045514687378675,0.18727265177073193,1.9738081378863597,91,15.0,SGP
162,Sudan,1973,1998.0,1.2374307811260223,1.0607298809253367,0.1617501388156405,1.2540593833336053,49,25.0,SVK
163,Suriname,1987,,0.0,0.0,0.0,0.0,35,,SVN
164,Swaziland,1968,2005.0,0.15057778358459473,0.4362009209676497,0.03210179473127761,0.3878653560751602,54,37.0,SLB
165,Sweden,1809,1974.0,0.08299434185028076,0.5247693554278672,0.21643417067735926,0.6034322466478355,213,165.0,SOM
166,Switzerland,1848,1874.0,0.6662350296974182,0.8141170992476079,0.11253182703319842,0.6748941862333628,174,26.0,ZAF
167,Syria,1930,1950.0,2.164101481437683,1.4958587838710256,0.20315617432429767,2.023675782029218,92,20.0,KOR
168,Taiwan,1947,,0.0,0.0,0.0,0.0,75,,SSD
169,Tajikistan,1994,,0.0,0.0,0.0,0.0,28,,ESP
170,Tanzania,1961,1962.0,1.106125831604004,1.233011749045263,0.16861534120911348,2.264793359847309,61,1.0,LKA
171,Thailand,1932,1949.0,4.07802414894104,2.120640777281998,0.9761781719141408,3.1570952742126375,90,17.0,SDN
172,Tibet,1991,,0.0,0.0,0.0,0.0,31,,SUR
173,Togo,1960,1979.0,0.38853615522384644,0.8645499765205062,0.4030307376591159,0.7379625526186822,62,19.0,SWZ
174,Tonga,1875,,0.0,0.0,0.0,0.0,147,,SWE
175,Trinidad and Tobago,1962,1976.0,0.056591928005218395,0.1065684839565371,0.010909584000036832,0.256440724743269,60,14.0,CHE
176,Tunisia,1959,2011.0,1.2988132238388062,1.0813179327438904,0.24213743498094698,0.8301685053125218,63,52.0,SYR
177,Turkey,1876,1921.0,2.193879745900631,2.813127572748475,0.7287236724892647,3.5489426130050155,146,45.0,TWN
178,Turkmenistan,1992,2008.0,0.5736536979675293,0.7372090460784744,0.15857381353536237,0.2493890968979046,30,16.0,TJK
179,Tuvalu,1978,1986.0,0.05692410469055176,0.3234930304066883,0.05194921674562081,0.4545276725159933,44,8.0,TZA
180,Uganda,1967,1995.0,0.2829863429069519,0.2703666180807399,0.042542248922703196,0.3807672215814614,55,28.0,THA
181,Ukraine,1978,1996.0,1.0,0.8324159977319209,0.36421544690798413,0.8302623488479149,44,18.0,TAR
182,United Arab Emirates,1971,,0.0,0.0,0.0,0.0,51,,TGO
183,United states,1789,,0.0,0.0,0.0,0.0,233,,TON
184,Uruguay,1830,1918.0,1.279091976583004,0.9278964253358648,0.17122898424949606,1.4102325866168672,192,88.0,TTO
185,Uzbekistan,1992,,0.0,0.0,0.0,0.0,30,,TUN
186,Vanuatu,1979,1980.0,0.031100749969482422,0.0090094242091729,0.0053433587126582305,0.0666467547236234,43,1.0,TUR
187,Venezuela,1830,1858.0,5.665635704994202,3.608418739358974,0.5037040361023103,13.761274999843247,192,28.0,TKM
188,Vietnam,1960,1980.0,1.1573574468493462,0.482545668537629,0.07120213719769397,0.4822889361670173,62,20.0,TUV
189,Yemen Arab Republic,1970,1991.0,0.9135293364524842,0.64750102797909,0.06557947292125943,0.6631846618133683,52,21.0,UGA
190,Yugoslavia,1921,1931.0,4.4880956299602985,3.9816888472771064,0.7424658285778476,5.623032087607282,101,10.0,UKR
191,Zambia,1964,1973.0,0.9635506868362427,0.2317004900193746,0.024834149056655486,0.2554971726552763,58,9.0,ARE
192,Zimbabwe,1965,1969.0,1.1187744140625,1.4316189698153434,0.1323587878476966,1.478264132411017,57,4.0,USA
